Austroasiatic_languages	subject	Agglutinative_languages
Amphibian	subject	Amphibians
Amphibian	subject	Animal_classes
Amphibian	subject	Late_Devonian_first_appearances
Aruba	subject	Dutch-speaking_countries_and_territories
Aruba	subject	Island_countries
Aruba	subject	Kingdom_of_the_Netherlands
Atlantic_Ocean	subject	Atlantic_Ocean
Atlantic_Ocean	subject	Oceans
Atlantic_Ocean	subject	History_of_the_Atlantic_Ocean
Atlantic_Ocean	subject	Landforms_of_the_Atlantic_Ocean
Atlantic_Ocean	subject	Articles_containing_video_clips
Actinopterygii	subject	Ray-finned_fish
Actinopterygii	subject	Animal_classes
Actinopterygii	subject	Silurian_first_appearances
American_Revolutionary_War	subject	Global_conflicts
American_Revolutionary_War	subject	Resistance_to_the_British_Empire
Arabic	subject	Fusional_languages
Arabic	subject	Stress-timed_languages
Arabic	subject	Subject–verb–object_languages
Asparagales	subject	Asparagales
Asparagales	subject	Angiosperm_orders
Asparagales	subject	Late_Cretaceous_first_appearances
Amsterdam	subject	Capitals_in_Europe
American_Civil_War	subject	Wars_involving_the_United_States
Accordion	subject	Accordion
Accordion	subject	Articles_containing_video_clips
Anglicanism	subject	Anglicanism
Anglicanism	subject	Western_Christianity
Alexander_I_of_Serbia	subject	20th-century_Serbian_monarchs
Alexander_I_of_Serbia	subject	Murdered_Serbian_monarchs
Alexander_I_of_Serbia	subject	Assassinated_heads_of_state
Alexander_I_of_Serbia	subject	Orthodox_monarchs
Armenian_language	subject	Agglutinative_languages
Armenian_language	subject	Subject–object–verb_languages
Andhra_Pradesh	subject	South_India
Andhra_Pradesh	subject	States_and_territories_established_in_1956
Abbas_Mirza	subject	1833_deaths
Archduke_Charles,_Duke_of_Teschen	subject	Knights_Grand_Cross_of_the_Order_of_Saint_Ferdinand_and_of_Merit
Archduke_Charles,_Duke_of_Teschen	subject	Austrian_generals
Admiralty	subject	Royal_Navy_admirals
Atlanta	subject	Atlanta,_Georgia
Atlanta	subject	1847_establishments_in_Georgia_(U.S._state)
Atlanta	subject	Atlanta_metropolitan_area_cities
Atlanta	subject	Cities_in_DeKalb_County,_Georgia
Atlanta	subject	Cities_in_Fulton_County,_Georgia
Atlanta	subject	Cities_in_Georgia_(U.S._state)
Atlanta	subject	County_seats_in_Georgia_(U.S._state)
Atlanta	subject	Populated_places_established_in_1837
Atlanta	subject	Populated_places_on_the_Chattahoochee_River
Atlanta	subject	Urban_forests_in_the_United_States
Atlanta	subject	Burial_sites_of_the_Martin_Luther_King_family
The_Bronx	subject	Populated_coastal_places_in_New_York
The_Bronx	subject	Populated_places_established_in_1898
Berlin	subject	Capitals_in_Europe
Blues	subject	Radio_formats
Belgium	subject	Benelux
Belgium	subject	Constitutional_monarchies
Belgium	subject	Countries_in_Europe
Belgium	subject	Dutch-speaking_countries_and_territories
Belgium	subject	Federal_countries
Belgium	subject	French-speaking_countries_and_territories
Belgium	subject	German-speaking_countries_and_territories
Belgium	subject	Germanic_countries_and_territories
Belgium	subject	Liberal_democracies
Belgium	subject	Member_states_of_the_Organisation_internationale_de_la_Francophonie
Belgium	subject	Member_states_of_NATO
Belgium	subject	Member_states_of_the_Council_of_Europe
Belgium	subject	Member_states_of_the_Dutch_Language_Union
Belgium	subject	Member_states_of_the_European_Union
Belgium	subject	Member_states_of_the_Union_for_the_Mediterranean
Belgium	subject	Member_states_of_the_United_Nations
Belgium	subject	Northern_Europe
Belgium	subject	Western_Europe
Brazil	subject	Countries_in_South_America
Brazil	subject	Federal_constitutional_republics
Brazil	subject	G15_nations
Brazil	subject	G20_nations
Brazil	subject	Liberal_democracies
Brazil	subject	Member_states_of_the_Union_of_South_American_Nations
Brazil	subject	Member_states_of_the_United_Nations
Brazil	subject	Romance_countries_and_territories
Brazil	subject	BRICS_nations
British_Columbia	subject	States_and_territories_established_in_1871
Bird	subject	Birds
Bird	subject	Dinosaurs
Bird	subject	Animal_classes
Bird	subject	Santonian_first_appearances
Bulgaria	subject	Bulgaria
Bulgaria	subject	Countries_in_Europe
Bulgaria	subject	Former_empires
Bulgaria	subject	Liberal_democracies
Bulgaria	subject	Member_states_of_NATO
Bulgaria	subject	Member_states_of_the_Council_of_Europe
Bulgaria	subject	Member_states_of_the_European_Union
Bulgaria	subject	Member_states_of_the_Union_for_the_Mediterranean
Bulgaria	subject	Member_states_of_the_United_Nations
Bulgaria	subject	Republics
Bulgaria	subject	Slavic_countries_and_territories
Bulgaria	subject	Southeastern_Europe
Bulgaria	subject	States_and_territories_established_in_681
Bulgaria	subject	States_and_territories_established_in_1908
Bangladesh	subject	Developing_8_Countries_member_states
Bangladesh	subject	Former_British_colonies
Bangladesh	subject	Least_developed_countries
Bangladesh	subject	Member_states_of_the_Commonwealth_of_Nations
Bangladesh	subject	Member_states_of_the_Organisation_of_Islamic_Cooperation
Bangladesh	subject	Member_states_of_the_South_Asian_Association_for_Regional_Cooperation
Bangladesh	subject	Member_states_of_the_United_Nations
Bangladesh	subject	Republics
Bangladesh	subject	South_Asian_countries
Bangladesh	subject	States_and_territories_established_in_1971
Bangladesh	subject	Commonwealth_republics
Bangladesh	subject	Muslim-majority_countries
Bhangra_(music)	subject	British_culture
Brussels	subject	Capitals_in_Europe
Brussels	subject	NUTS_1_statistical_regions_of_the_European_Union
Brussels	subject	French-speaking_countries_and_territories
Buffalo,_New_York	subject	Cities_in_New_York
Buffalo,_New_York	subject	Populated_places_on_the_Underground_Railroad
Buffalo,_New_York	subject	Inland_port_cities_and_towns_of_the_United_States
Bulgarian_language	subject	Subject–verb–object_languages
Botany	subject	Articles_containing_video_clips
Brahui_language	subject	Agglutinative_languages
Balkans	subject	Southeastern_Europe
Balkan_Wars	subject	Modern_Europe
Bengal	subject	History_of_West_Bengal
Bengal	subject	Geography_of_India
Bengal	subject	Divided_regions
Chordate	subject	Chordates
Chordate	subject	Animal_phyla
Chordate	subject	Terreneuvian_first_appearances
Lists_of_universities_and_colleges	subject	Lists_of_lists
Copenhagen	subject	Copenhagen
Copenhagen	subject	Capitals_in_Europe
Copenhagen	subject	Cities_and_towns_in_Capital_Region_of_Denmark
Copenhagen	subject	Municipal_seats_in_Capital_Region_of_Denmark
Copenhagen	subject	Municipal_seats_of_Denmark
Copenhagen	subject	Populated_places_established_in_the_11th_century
Copenhagen	subject	Port_cities_and_towns_in_Denmark
Copenhagen	subject	Port_cities_and_towns_of_the_Baltic_Sea
Carl_Linnaeus	subject	1707_births
Carl_Linnaeus	subject	1778_deaths
